bon;good
mauvais;bad
nouveau;new
vieux;old
premier;first
dernier;last
long;long
court;short
grand;big
petit;small
propre;own
autre;other
droit;right
gros;big
haut;high
bas;low
différent;different
prochain;next
jeune;young
important;important
peu;few
public;public
même;same
capable;able
heureux;happy
libre;free
meilleur;better
fort;strong
sûr;sure
certain;certain
vide;empty
plein;full
clair;clear
facile;easy
ouvert;open
fermé;closed
gratuit;free
bon marché;cheap
sombre;dark
lumineux;bright
présent;present
chaud;warm
froid;cold
calme;quiet
doux;soft
dur;hard
léger;light
doux;sweet
seul;alone
chaud;hot
mort;dead
beau;beautiful
tranquille;quiet
sûr;safe
propre;clean
profond;deep
spécial;special
avant;front
vert;green
populaire;popular
vaste;large
local;local
faux;wrong
prêt;ready
facile;simple
lourd;heavy
gauche;left
majeur;major
mieux;better
intense;deep
bleu;blue
aisé;easy
difficile;difficult
international;international
minuscule;tiny
pauvre;poor
content;happy
désolé;sorry
mignon;cute
mince;thin
large;wide
étendu;broad
confortable;comfortable
plat;flat
riche;rich
sec;dry
magnifique;wonderful
épais;thick
célèbre;famous
critique;critical
occupé;busy
méchant;mean
humide;wet
