le chien;dog
le chat;cat
le poisson;fish
l'oiseau;bird
la souris;mouse
le lapin;rabbit
le cheval;horse
la vache;cow
le mouton;sheep
le cochon;pig
la poule;chicken
le canard;duck
la chèvre;goat
le cerf;deer
l'écureuil;squirrel
le chaton;kitten
le chiot;puppy
le hamster;hamster
la tortue;turtle
le serpent;snake
le lézard;lizard
l'araignée;spider
la grenouille;frog
le papillon;butterfly
l'abeille;bee
la fourmi;ant
le pigeon;pigeon
le corbeau;raven
l'aigle;eagle
le hibou;owl
le perroquet;parrot
le pingouin;penguin
le lion;lion
le tigre;tiger
l'éléphant;elephant
le singe;monkey
l'ours;bear
la girafe;giraffe
le zèbre;zebra
le kangourou;kangaroo
le panda;panda
le koala;koala
le dauphin;dolphin
la baleine;whale
le requin;shark
le poulpe;octopus
la méduse;jellyfish
l'hippopotame;hippopotamus
le rhinocéros;rhinoceros
le crocodile;crocodile
l'alligator;alligator
le caméléon;chameleon
le crabe;crab
le homard;lobster
la crevette;shrimp
l'escargot;snail
la mouette;seagull
le flamant rose;flamingo
l'autruche;ostrich
le colibri;hummingbird
le paon;peacock
le milan;kite
le cygne;swan
la coccinelle;ladybug
le scarabée;beetle
la libellule;dragonfly
le moustique;mosquito
le scorpion;scorpion
le ver de terre;earthworm
le rat;rat
la chauve-souris;bat
le renard;fox
le loup;wolf
le castor;beaver
la loutre;otter
le phoque;seal
