se lever;to get up
se laver;to wash oneself
se coucher;to go to bed
s'habiller;to get dressed
se raser;to shave
se doucher;to shower
se peigner;to comb one's hair
se brosser les dents;to brush one's teeth
s'asseoir;to sit down
se coiffer;to do one's hair
se maquiller;to put on makeup
se regarder;to look at oneself
se dépêcher;to hurry
se reposer;to rest
se promener;to take a walk
s'amuser;to have fun
se détendre;to relax
se réveiller;to wake up
s'endormir;to fall asleep
se sentir;to feel
se rappeler;to remember
se souvenir;to remember
se tromper;to be mistaken
s'énerver;to get annoyed
se fâcher;to get angry
se disputer;to argue
s'ennuyer;to be bored
se plaindre;to complain
se moquer;to mock
se marier;to get married
se divorcer;to get divorced
s'entraîner;to train
s'appliquer;to apply oneself
se concentrer;to concentrate
se décider;to decide
se préparer;to prepare
se rendre compte;to realize
se méfier;to be wary
se fier;to trust
se douter;to suspect
s'attendre;to expect
se demander;to wonder
se perdre;to get lost
se retrouver;to meet up
se rencontrer;to meet
se présenter;to introduce oneself
se servir;to use
se procurer;to obtain
se permettre;to allow oneself
se dépenser;to spend energy
se retenir;to hold back
se taire;to be quiet
se vanter;to boast
se venger;to take revenge
se déplacer;to move
se balader;to stroll
se situer;to be located
se relaxer;to relax
se brûler;to burn oneself
se blesser;to injure oneself
se soigner;to take care of oneself
se guérir;to heal
se peser;to weigh oneself
se mesurer;to measure oneself
se lasser;to get tired
s'épuiser;to exhaust oneself
se fatiguer;to get tired
s'étirer;to stretch
se pencher;to lean
se retourner;to turn around
se baisser;to bend down
se redresser;to straighten up
se moucher;to blow one's nose
se gratter;to scratch
se pincer;to pinch
se cogner;to bump
se frapper;to hit oneself
se couper;to cut oneself
se baigner;to bathe
se sécher;to dry oneself
se rafraîchir;to freshen up
se réchauffer;to warm up
se geler;to freeze
se rêver;to dream
se réfléchir;to think
s'oublier;to forget oneself
se résoudre;to resolve
se préoccuper;to worry
se soucier;to care
se réjouir;to rejoice
se lamenter;to lament
se désoler;to be sorry
se révolter;to revolt
s'indigner;to be indignant
s'exaspérer;to exasperate
s'agacer;to annoy
se calmer;to calm down
se décontracter;to loosen up
se désennuyer;to relieve boredom
se distraire;to distract oneself
se récréer;to recreate
se divertir;to entertain oneself
s'émouvoir;to be moved
se passionner;to be passionate
s'étonner;to be surprised
s'émerveiller;to marvel
se ravir;to be delighted
s'attrister;to be saddened
se morfondre;to mope
se désespérer;to despair
se suicider;to commit suicide
se tuer;to kill oneself
se pendre;to hang oneself
se noyer;to drown
