quelque;some
grand;big, large
petit;small, little
chaque;each
seul;only, single
jeune;young
bon;good
vrai;true, real
premier;first
beau, bel;beautiful, handsome
gros;big, fat
plusieurs;several
possible;possible
rouge;red
noir;black
plein;full
long;long
blanc;white
propre;clean, own
pauvre;poor
dernier;last
libre;free
heureux;happy
simple;simple
moindre;least
mal, mauvais;bad
vide;empty
certain;certain
difficile;difficult
bleu;blue
bas;low, bottom
même;same
froid;cold
sombre;dark
clair;clear
cher;expensive, dear
bon marché;cheap
impossible;impossible
facile;easy
gris;gray
haut;high, tall
gauche;left
immobile;immobile
triste;sad
drôle;funny
immense;immense
étrange;strange
fou;crazy
énorme;enormous
dur;hard
droit;right, straight
tranquille;quiet
léger;light
sale;dirty
doux;soft, sweet
terrible;terrible
sec;dry
large;wide
similaire;similar
capable;capable
militaire;military
pâle;pale
unique;unique
rose;pink
faux;false
malade;sick
calme;calm
proche;near, close
entier;whole
ouvert;open
fort;strong
prêt;ready
mince;thin, slim
vieux, ancien;old
vert;green
deuxième;second
troisième;third
lourd;heavy
sûr;sure, safe
frais;fresh, cool
vaste;vast
vite, rapide;fast
présent;present
inutile;useless
double;double
certains;certain
content;happy, content
rare;rare
important;important
général;general
nécessaire;necessary
national;national
britannique;British
profond;deep
humain;human
chaud;hot
tendre;tender
français;French
soudain;sudden
joli;pretty
politique;political
curieux;curious
normal;normal
sérieux, grave;serious
silencieux;silent
riche;rich
maigre;skinny
bizarre;strange, weird
vif;bright, lively
extrême;extreme
mort;dead
vivant;living
vague;vague
épais;thick
faible;weak
malheureux;unhappy
vain;vain
court;short
pire;worse
ferme;firm
incapable;incapable
naturel;natural
précis;precise
humide;humid, damp
minuscule;tiny
gentil, sympathique, aimable;nice, kind
nombreux;numerous
tiède;lukewarm
anglais;English
bien;well
ridicule;ridiculous
invisible;invisible
extraordinaire;extraordinary
fragile;fragile
russe;Russian
bref;brief
sauvage;wild
meilleur;better, best
jaune;yellow
fin;fine, thin
lointain;distant
dangereux;dangerous
nul;null, worthless
prochain;next
commun;common
passé;past
solide;solid
fier;proud
agréable;pleasant
amoureux;in love
sensible;sensitive
aveugle;blind
blond;blond
secret;secret
étroit;narrow
furieux;furious
la plupart des;most of the
obscur;obscure
plat;flat
moyen;average, medium
rond;round
fixe;fixed
allemand;German
paisible;peaceful
arrière;back, rear
physique;physical
électrique;electric
fidèle;faithful
différent;different
mystérieux;mysterious
fait;made, done
digne;worthy
brusque;abrupt
joyeux;joyful
inconnu;unknown
américain;American
gras;fat
nocturne;nocturnal
innombrable;countless
public;public
total;total
social;social
délibéré;deliberate
absurde;absurd
célèbre;famous
raide;stiff
moderne;modern
avant;before, front
lisse;smooth
visible;visible
demi;half
utile;useful
admirable;admirable
intime;intimate
voisin;neighboring
particulier;particular
sage;wise, well-behaved
