les vêtements;clothes
la chemise;shirt
le pantalon;trousers
la robe;dress
le short;shorts
la jupe;skirt
le t-shirt;T-shirt
le pull;sweater
le sweat-shirt;sweatshirt
le jean;jeans
le costume;suit
la veste;jacket
le manteau;coat
la cravate;tie
le noeud papillon;bow tie
les sous-vêtements;underwear
la culotte;panties
le slip;briefs
le boxer;boxer shorts
le soutien-gorge;bra
le collant;tights
les chaussettes;socks
le chapeau;hat
la casquette;cap
le foulard;scarf
les gants;gloves
la ceinture;belt
les chaussures;shoes
les baskets;sneakers
les bottes;boots
les sandales;sandals
les talons;heels
les lunettes;sunglasses
le maillot de bain;swimsuit
le bikini;bikini
le peignoir;bathrobe
le pyjama;pajamas
la chemise de nuit;nightgown
le blazer;blazer
la salopette;overalls
le gilet;vest
le bas;stocking
le tablier;apron
la blouse;blouse
les chaussons;slippers
les boucles d'oreilles;earrings
le collier;necklace
le bracelet;bracelet
la montre;watch
la bague;ring
le sac à main;handbag
le portefeuille;wallet
le sac à dos;backpack
la valise;suitcase
le parapluie;umbrella
