la voiture;car
le bus;bus
le train;train
l'avion;airplane
le vélo;bicycle
le métro;subway
le tramway;tram
le scooter;scooter
la moto;motorcycle
le camion;truck
le bateau;boat
le ferry;ferry
le navire;ship
le sous-marin;submarine
la montgolfière;hot air balloon
l'hélicoptère;helicopter
le skate;skateboard
le roller;roller skates
le vélo électrique;electric bike
le VTT;mountain bike
le canoë;canoe
le kayak;kayak
le yacht;yacht
le jet-ski;jet ski
le paquebot;cruise ship
le cargo;cargo ship
le chariot;cart
la calèche;carriage
le télécabine;cable car
le taxi;taxi
la limousine;limousine
le hovercraft;hovercraft
