être;to be
dire;to say
avoir;to have
faire;to do, to make
voir;to see
aller;to go
falloir;to be necessary
savoir;to know facts, skills, or how to do something
connaître;to know, to be familiar with
pouvoir;to be able to
vouloir;to want
prendre;to take
parler;to speak
croire;to believe
devoir;to owe, must, have to
venir;to come
demander;to ask
sembler;to seem
aimer;to love, to like
mettre;to put
placer;to place
donner;to give
regarder;to look, to watch
chercher;to search, to look for
trouver;to find
laisser;to leave, to let
vivre;to live
habiter;to live, to reside
passer;to pass, to spend time
tenir;to hold
penser;to think
sentir;to feel, to smell
partir;to leave, to depart
quitter;to leave, to exit, to quit
arriver;to arrive
entendre;to hear
rester;to stay, to remain
importer;to import
rendre;to render, to give back
asseoir;to sit
finir;to finish
comprendre;to understand
sortir;to go out
rire;to laugh
sourire;to smile
attendre;to wait
manger;to eat
tomber;to fall
appeler;to call
mourir;to die
lever;to raise, to lift
jouer;to play
écrire;to write
perdre;to lose
gagner;to win, to earn
porter;to carry, to wear
entrer;to enter
répondre;to answer
lire;to read
boire;to drink
tirer;to pull, to shoot
pousser;to push
apprendre;to learn
monter;to go up
reprendre;to resume
devenir;to become
dormir;to sleep
coucher;to lay down, to sleep
arrêter;to stop
ouvrir;to open
ajouter;to add
écouter;to listen
commencer;to begin, to start
montrer;to show
marcher;to walk
agir;to act
oublier;to forget
suivre;to follow
rentrer;to return, to get in
expliquer;to explain
revenir;to come back
servir;to serve
poser;to pose
décider;to decide
souvenir;to remember
changer;to change
courir;to run
descendre;to go down
empêcher;to prevent
valoir;to be worth
tourner;to turn
garder;to keep
travailler;to work
tuer;to kill
raconter;to tell
imaginer;to imagine
pleurer;to cry
reconnaître;to recognize
jeter;to throw
retourner;to return
glisser;to slip
cesser;to cease
aider;to help
continuer;to continue
éviter;to avoid
suffire;to suffice, to be enough
disparaître;to disappear
payer;to pay
murmurer;to murmur
exister;to exist
rappeler;to recall, to remind
battre;to beat
acheter;to buy
occuper;to occupy
essayer;to try
toucher;to touch
recevoir;to receive
reporter;to postpone
crier;to shout
plaire;to please
ressembler;to resemble
compter;to count
découvrir;to discover
offrir;to offer
surprendre;to surprise
manquer;to miss
cacher;to hide
échapper;to escape
bouger;to move
percevoir;to perceive
rencontrer;to meet
maintenir;to maintain
choisir;to choose
prier;to pray
espérer;to hope
sauter;to jump
préparer;to prepare
approcher;to approach
promettre;to promise
répéter;to repeat
défendre;to defend
envoyer;to send
avancer;to advance, to move forward
atteindre;to reach, to attain
souffrir;to suffer
conduire;to drive, to conduct
charger;to load, to charge
remarquer;to notice
assurer;to assure, to insure
lancer;to throw, to launch
retenir;to retain
obtenir;to obtain
embrasser;to kiss, to embrace
couler;to flow, to sink
traverser;to cross
sauver;to save
saisir;to seize
accepter;to accept
réfléchir;to reflect, to think
préférer;to prefer
hésiter;to hesitate
naître;to be born
fuir;to flee
frapper;to hit, to strike, to knock
permettre;to permit
danser;to dance
obliger;to oblige, to force
terminer;to terminate
hausser;to raise
intéresser;to interest
chanter;to sing
pencher;to lean, to tilt
rouler;to roll, to drive
avouer;to confess
dîner;to dine
respirer;to breathe
installer;to install, to settle
supporter;to bear, to stand
prévoir;to foresee, to predict
fermer;to close
tenter;to attempt
promener;to go for a walk
couper;to cut
taire;to keep quiet
jurer;to swear
vendre;to sell
soupirer;to sigh
laver;to wash
casser;to break
supposer;to suppose
mener;to lead
apporter;to bring
rêver;to dream
présenter;to present
réveiller;to wake up
juger;to judge
oser;to dare
éloigner;to alienate
serrer;to tighten, to squeeze
traîner;to drag, to hang out
apparaître;to appear
refuser;to refuse
abandonner;to abandon
couvrir;to cover
protéger;to protect
concerner;to concern
éprouver;to experience
entourer;to surround
voler;to fly, to steal
ignorer;to ignore
exprimer;to express
deviner;to guess
secouer, agiter;to shake
écrier, exclamer;to exclaim
baisser;to lower
discuter;to discuss
risquer;to risk
amuser;to amuse
livrer;to deliver
profiter;to profit, to take advantage of
fixer;to fix, to set
remplir;to fill
partager;to share
plaindre;to complain
endormir;to put to sleep
observer;to observe
pénétrer;to penetrate
emporter;to take away
appartenir;to belong
interdire;to forbid
distinguer;to distinguish
nourrir;to feed
durer;to last
douter;to doubt
allumer;to light, to turn on
convaincre;to convince
allier;to ally
débarrasser;to get rid of, to clear
annoncer;to announce
visiter;to visit
assister;to assist
appuyer;to press
proposer;to propose
trembler;to tremble
peindre;to paint
produire;to produce
inquiéter;to worry
régler;to adjust, to settle, to regulate
poursuivre;to pursue, to continue
accomplir;to accomplish
accompagner;to accompany
tromper;to deceive, to mislead
redresser;to straighten up, to remedy
vérifier;to verify
retirer, rétracter;to withdraw
prononcer;to pronounce
étonner;to astonish
renoncer;to renounce, to give up
regretter;to regret
posséder;to possess
engager;to engage
subir;to undergo
prêter;to lend
emprunter;to borrow
prouver;to prove
brûler;to burn
reposer;to rest
fumer;to smoke
lutter;to struggle
entraîner;to train, to lead
détester, haïr;to hate
chasser;to hunt, to chase
établir;to establish
étendre;to extend
ennuyer;to bore
céder;to give in, to yield
régner;to reign
écraser;to crush
nommer;to name, to appoint
lâcher;to let go of, to release
coûter;to cost
coller;to stick, to glue
détruire;to destroy
traiter;to treat
élever;to elevate
diriger;to direct, to manage
allonger;to lengthen
craindre;to fear
taper;to hit, to type
planter;to plant
marquer;to mark
interrompre;to interrupt
éclater;to burst, to explode
déclarer;to declare
résister;to resist
flotter;to float
téléphoner;to telephone
admettre;to admit
