le temps;weather
le climat;climate
le soleil;sun
la pluie;rain
la neige;snow
le vent;wind
le nuage;cloud
la tempête;storm
l'orage;thunderstorm
le brouillard;fog
la brume;mist
le gel;frost
la grêle;hail
le tonnerre;thunder
l'éclair;lightning
le ciel;sky
l'arc-en-ciel;rainbow
le degré;degree
l'humidité;humidity
la pression atmosphérique;atmospheric pressure
la brise;breeze
la rafale;gust
la canicule;heatwave
le froid;cold
la température;temperature
le cyclone;cyclone
l'ouragan;hurricane
le typhon;typhoon
la tornade;tornado
le blizzard;blizzard
la rosée;dew
la mousson;monsoon
la sécheresse;drought
le smog;smog
la pollution atmosphérique;air pollution
la couverture nuageuse;cloud cover
le lever du soleil;sunrise
le coucher du soleil;sunset
la visibilité;visibility
le bulletin météorologique;weather report
le baromètre;barometer
l'anémomètre;anemometer
la station météorologique;weather station
le changement climatique;climate change
le réchauffement global;global warming
l'effet de serre;greenhouse effect
la couche d'ozone;ozone layer
