l'outil;tool
le marteau;hammer
la scie;saw
le tournevis;screwdriver
la clé;wrench
la perceuse;drill
le clou;nail
la vis;screw
le boulon;bolt
l'écrou;nut
le niveau;level
la pince;pliers
le mètre ruban;tape measure
la lime;file
le rabot;plane
le ciseau;chisel
la hache;axe
la scie circulaire;circular saw
la perceuse sans fil;cordless drill
le fer à souder;soldering iron
couper;to cut
mesurer;to measure
percer;to drill
visser;to screw
scier;to saw
marteler;to hammer
limer;to file
raboter;to plane
hacher;to chop
souder;to solder
le coffre à outils;toolbox
la sécurité;safety
les lunettes de protection;safety goggles
les gants de travail;work gloves
le casque;helmet
l'établi;workbench
le bricolage;DIY
réparer;to repair
fixer;to fix
assembler;to assemble
la colle;glue
la peinture;paint
peindre;to paint
le pinceau;paintbrush
la truelle;trowel
le plâtre;plaster
plâtrer;to plaster
la règle;rule
le crayon;pen
marquer;to mark
le niveau à bulle;spirit level
ajuster;to adjust
le serre-joint;clamp
serrer;to clamp
la lime à métaux;metal file
la clé à molette;adjustable wrench
la clé Allen;Allen key
la clé à pipe;socket wrench
le mélangeur;mixer
mélanger;to mix
le burin;chisel
buriner;to chisel
le mastic;putty
mastiquer;to putty
l'adhésif;adhesive
coller;to glue
la pâte à souder;solder paste
la soudure;soldering
la fraiseuse;milling machine
fraiser;to mill
la scie à métaux;hacksaw
la scie à chaîne;chainsaw
tronçonner;to chainsaw
la ponceuse;sander
poncer;to sand
la perceuse à colonne;drill press
la scie sauteuse;jigsaw
scier en va-et-vient;to jigsaw
la tenaille;nippers
tenailler;to nip
le pistolet à colle;glue gun
le ruban adhésif;tape
la cheville;anchor
ancrer;to anchor
la scie à onglet;miter saw
ongler;to miter
la brosse métallique;wire brush
brosser;to brush
le détecteur de métaux;metal detector
détecter;to detect
la pelle;shovel
pelleter;to shovel
la brouette;wheelbarrow
transporter;to transport
le sécateur;pruning shears
tailler;to prune
le râteau;rake
ratisser;to rake
la tronçonneuse;chainsaw
tronçonner;to chainsaw
