abriter;to shelter
accueillir;to welcome
agir;to act
aimer;to love or to like
allumer;to light or to switch on
appartenir;to belong
appuyer;to press a button
atteindre;to reach
avaler;to swallow
avouer;to confess
baigner;to bathe
balayer;to sweep
blesser;to injure or to wound
bouger;to move
briller;to shine
cacher;to hide
cesser;to stop or to cease
changer;to change
choisir;to choose
combattre;to fight
comprendre;to understand
conduire;to drive
connaître;to know
conseiller;to advise
contenir;to contain
couler;to flow
louer;to rent
louper;to miss a physical opportunity
courir;to run
craindre;to fear
croire;to believe
cueillir;to gather
décevoir;to disappoint
découvrir;to discover
dégager;to clear or to free up
déjeuner;to have lunch
demander;to ask
dépenser;to spend (something)
détester;to hate
devenir;to become
deviner;to guess
diriger;to direct or to manage
disparaître;to disappear
diviser;to divide
couper;to cut
défaire;to unpack
déménager;to relocate
échapper;to escape
éclater;to burst
écouter;to listen
élever;to raise or to elevate
embarrasser;to embarrass
embrasser;to kiss or to embrace
empêcher;to prevent
emporter;to take away
emprunter;to borrow
enseigner;to teach
entendre;to hear
entreprendre;to undertake
envahir;to invade
envoyer;to send
éprouver;to feel or to experience
éteindre;to extinguish or to turn off
éviter;to avoid
exiger;to require
expliquer;to explain
faire;to do or to make
fuir;to flee
gagner;to win or to earn
garder;to keep
glisser;to slip or to slide
grandir;to grow up
apercevoir;to notice
guérir;to heal or to cure
habiter;to live or to reside
inclure;to include
inquiéter;to worry
interdire;to ban
intervenir;to intervene
prêter;to lend
joindre;to join
laisser;to let or to leave or to allow
lancer;to throw or to launch
lier;to bind or to link together
lire;to read
manquer;to miss
marcher;to walk
mélanger;to mix
mener;to lead or to guide
mentir;to lie
mériter;to deserve
monter;to go up or to mount
arriver;to arrive
passer;to spend time
aider;to help
chercher;to look for
finir;to finish
importer;to import
exporter;to export
casser;to break
chauffer;to heat
placer;to place
mettre;to put
prier;to pray
envier;to envy
entrer;to enter
chuchoter;to whisper
coiffer;to style hair
téléphoner;to telephone
appeler;to call
payer;to pay
adorer;to adore
commencer;to begin
armer;to arm
dîner;to dine
gâter;to spoil or or pamper
recevoir;to receive
occuper;to occupy
sauver;to save
terminer;to terminate
toucher;to touch
décider;to decide
ignorer;to ignore
supposer;to suppose
commander;to order a good or service
quitter;to quit or to depart
ressembler;to resemble
exister;to exist
visiter;to visit
déprimér;to be depressed
imaginer;to imagine
coller;to stick
continuer;to continue
danser;to dance
servir;to serve
bloquer;to block
boucher;to clog
bouder;to sulk
préférer;to prefer
signer;to sign
utiliser;to use
marier;to marry
intéresser;to interest
abattre;to cut down or to shoot
descendre;to descend
tourner;to turn
adresser;to address
présenter;to present
nettoyer;to clean
ramasser;to pick up something fallen
compter;to count
excuser;to excuse
refuser;to refuse
cuire;to bake
sauter;to jump
nager;to swim
neiger;to snow
naviguer;to sail
sonner;to ring a bell
manifester;to protest
emballer;to wrap or to pack
discuter;to discuss
permettre;to permit
doubler;to double
amuser;to amuse
grimper;to climb
rouler;to travel, emphasizing the aspect of motion
escalader;to scale a mountain
débattre;to debate
réfléchir;to reflect or to think
arranger;to arrange
nier;to deny
promener;to go for a walk
officier;to officiate
accepter;to accept
préparer;to prepare
regretter;to regret
inviter;to invite
vérifier;to verify
dépendre;to depend
peindre;to paint
dessiner;to draw
partager;to share
saigner;to bleed
pêcher;to fish
peser;to weigh
salir;to soil
raccourcir;to shorten
ralentir;to slow down
obtenir;to obtain
saluer;to greet
restaurer;to restore
produire;to produce
répéter;to repeat
assurer;to provide assurance
obliger;to oblige or to compel
embrasser;to embrace
harceler;to harass
plaisanter;to kid or to joke
piloter;to pilot
râler;to grumble
ranger;to tidy up
défendre;to defend
planifier;to plan
planter;to plant
pleurer;to cry or to shed tears
pleuvoir;to rain
concerner;to concern
réparer;to repair
apprécier;to appreciate
créer;to create
annoncer;to announce
marquer;to mark
abandonner;to abandon
attaquer;to attack
fonctionner;to function
remuer;to stir
recontrer;to meet
ennuyer;to annoy
reconnaître;recognize
repasser;to iron
mesurer;to measure
supporter;to support
perdre;to lose
commettre;to commit
crier;to shout or to scream
convaincre;to convince
réserver;to reserve
souffrir;to suffer
traverser;to traverse
survivre;to survive
charger;to charge or to load
accuser;to accuse
construire;to construct
contrôler;to control
exploser;to explode
sauver;to rescue
représenter;to represent
libérer;to liberate
traiter;to treat
avancer;to advance
abîmer;to damage
accoucher;to give birth
réaliser;to realize
accompagner;to accompany
profiter;to profit
aller;to go
accrocher;to hang
proposer;to propose
approcher;to approach
ajouter;to add
inventer;to invent
calmer;to calm
pardonner;to pardon or to forgive
récompenser;to compensate or to reward
verrouiller;to lock
presser;to press
moquer;to mock
installer;to install
pousser;to push
condamner;to condemn
chasser;to chase or to hunt
flotter;to float
guider;to guide
désirer;to desire
démolir;to demolish
forcer;to force
respecter;to respect
associer;to associate
assassiner;to assasinate
retenir;to retain or to remember
pisser;to piss
détruire;to destroy
hurler;to shout with strong emotions or pain
taper;to type or to hit
risquer;to risk
